timestamp,binId,fillPercentage
2026-09-10T08:00:00,1,10.0
2026-09-10T12:00:00,1,14.5
2026-09-10T16:00:00,1,18.0
2026-09-10T20:00:00,1,22.0
2026-09-11T08:00:00,1,30.0
2026-09-11T12:00:00,1,38.5
2026-09-11T16:00:00,1,45.0
2026-09-11T20:00:00,1,55.0
2026-09-12T08:00:00,1,65.0
2026-09-12T12:00:00,1,75.0
2026-09-12T16:00:00,1,88.0
2026-09-10T08:00:00,2,20.0
2026-09-10T12:00:00,2,25.0
2026-09-10T16:00:00,2,30.0
2026-09-10T20:00:00,2,35.0
2026-09-11T08:00:00,2,40.0
2026-09-11T12:00:00,2,42.0
2026-09-11T16:00:00,2,45.0
2026-09-11T20:00:00,2,50.0
2026-09-12T08:00:00,2,55.0
2026-09-12T12:00:00,2,58.0
2026-09-12T16:00:00,2,62.0
